Source IP,Destination IP,Packet Size,Source Port,Destination Port,Protocol,Timestamp
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289003
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289004
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289004
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289006
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289007
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289008
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289012
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289013
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289013
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289014
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289015
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289055
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289055
/192.168.43.186,/172.217.168.182,54,64746,443,6 (TCP),1736094289056
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289078
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289079
/192.168.43.186,/172.217.168.182,54,64746,443,6 (TCP),1736094289079
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289079
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289080
/172.217.168.182,/192.168.43.186,973,443,64746,6 (TCP),1736094289080
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289080
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289080
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289080
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289082
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289082
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289083
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289083
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289083
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289083
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289083
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289084
/192.168.43.186,/172.217.168.182,54,64746,443,6 (TCP),1736094289084
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289085
/172.217.168.182,/192.168.43.186,1024,443,64746,6 (TCP),1736094289085
/197.230.70.19,/192.168.43.186,82,443,56456,17 (UDP),1736094289086
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289086
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289086
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289087
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289087
/197.230.70.19,/192.168.43.186,1176,443,56456,17 (UDP),1736094289087
/192.168.43.186,/172.217.168.182,54,64746,443,6 (TCP),1736094289087
/192.168.43.186,/197.230.70.19,81,56456,443,17 (UDP),1736094289094
/192.168.43.186,/197.230.70.19,82,56456,443,17 (UDP),1736094289094
/192.168.43.186,/172.217.168.182,93,64746,443,6 (TCP),1736094289095
/172.217.168.182,/192.168.43.186,54,443,64746,6 (TCP),1736094289095
/192.168.43.186,/197.230.70.19,125,56456,443,17 (UDP),1736094289103
/192.168.43.186,/197.230.70.19,111,56456,443,17 (UDP),1736094289115
/192.168.43.186,/197.230.70.19,1288,56456,443,17 (UDP),1736094289116
/192.168.43.186,/197.230.70.19,1288,56456,443,17 (UDP),1736094289116
/192.168.43.186,/197.230.70.19,1099,56456,443,17 (UDP),1736094289116
/197.230.70.19,/192.168.43.186,573,443,56456,17 (UDP),1736094289117
/197.230.70.19,/192.168.43.186,158,443,56456,17 (UDP),1736094289117
/192.168.43.186,/197.230.70.19,74,56456,443,17 (UDP),1736094289117
/197.230.70.19,/192.168.43.186,65,443,56456,17 (UDP),1736094289118
/197.230.70.19,/192.168.43.186,69,443,56456,17 (UDP),1736094289118
/172.217.168.182,/192.168.43.186,54,443,64746,6 (TCP),1736094289118
/197.230.70.19,/192.168.43.186,627,443,56456,17 (UDP),1736094289118
/192.168.43.186,/197.230.70.19,77,56456,443,17 (UDP),1736094289118
/137.184.250.43,/192.168.43.186,54,443,64870,6 (TCP),1736094289119
/192.168.43.186,/137.184.250.43,66,64944,443,6 (TCP),1736094289119
/197.230.70.19,/192.168.43.186,1288,443,56456,17 (UDP),1736094289119
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289119
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289120
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289120
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289120
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289120
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289120
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289121
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289121
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289121
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289123
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289124
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289124
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289125
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289125
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289125
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289125
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289126
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289126
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289126
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289126
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289126
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289127
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289127
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289127
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289127
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289129
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289130
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289131
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289131
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289131
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289131
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289147
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289147
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289147
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289147
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289149
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289162
/197.230.70.19,/192.168.43.186,1292,443,56456,17 (UDP),1736094289163
/192.168.43.186,/197.230.70.19,73,56456,443,17 (UDP),1736094289163
